Community Area,NAME,no_hs,hs,some_college,state,county,bachelors,graduate,population,period
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",0.057199612896653595,0.07546817433233162,0.10288799470279632,17,31,0.23197337815582608,0.2096979575205012,58899.0,2010-2014
NEW CITY,"Census Tract 8438, Cook County, Illinois",0.20924082888600412,0.20758209529304295,0.10178373960286552,17,31,0.027525361796240204,0.014135294966104139,41598.0,2010-2014
NORTH CENTER,"Census Tract 503, Cook County, Illinois",0.045009335056728425,0.08163148068361338,0.11704724974867155,17,31,0.3111302599454258,0.18986069223036048,34815.0,2010-2014
NORTH LAWNDALE,"Census Tract 2916, Cook County, Illinois",0.14583274850517924,0.17586952249950874,0.16747606883193442,17,31,0.036549420318333664,0.016478118069786375,35623.0,2010-2014
NORTH PARK,"Census Tract 1302, Cook County, Illinois",0.08417321962565068,0.11839627865765866,0.17637612138664305,17,31,0.20960239229150515,0.11258168124930779,18058.0,2010-2014
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",0.060351915803321825,0.19969303294414295,0.23206161267335415,17,31,0.15901989804308503,0.09000712602093953,36486.0,2010-2014
OAKLAND,"Census Tract 3602, Cook County, Illinois",0.11060049019607843,0.13541666666666666,0.21292892156862744,17,31,0.04534313725490196,0.015625,3264.0,2010-2014
OHARE,"Census Tract 9800, Cook County, Illinois",0.08435268330622923,0.2046241957151948,0.19550307572650782,17,31,0.1447359117584671,0.08986777911334229,14143.0,2010-2014
PORTAGE PARK,"Census Tract 1504.01, Cook County, Illinois",0.12493209368742918,0.2173622859981064,0.18689369363776057,17,31,0.11135083117326587,0.0491874524655812,64427.0,2010-2014
PULLMAN,"Census Tract 5002, Cook County, Illinois",0.11076040172166428,0.19010043041606886,0.27302725968436153,17,31,0.09827833572453372,0.04921090387374462,6970.0,2010-2014
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",0.11543810848400557,0.14979137691237832,0.1521557719054242,17,31,0.01376912378303199,0.004033379694019471,7190.0,2010-2014
ROGERS PARK,"Census Tract 102.01, Cook County, Illinois",0.11944836357132921,0.13534566699123662,0.1587941895356,17,31,0.16922679490491424,0.10625360173280607,50323.0,2010-2014
ROSELAND,"Census Tract 4905, Cook County, Illinois",0.10470553685589717,0.17568391804278582,0.24300268823276933,17,31,0.07911085006890009,0.04576772765265322,44267.0,2010-2014
SOUTH CHICAGO,"Census Tract 4602, Cook County, Illinois",0.1559369527145359,0.16549912434325745,0.20763572679509631,17,31,0.05330998248686515,0.031768826619964975,28550.0,2010-2014
