NAME,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,state,county,tract
"Census Tract 8036.12, Cook County, Illinois",328.0,633.0,579.0,559.0,148.0,17,031,803612
"Census Tract 8037.01, Cook County, Illinois",206.0,353.0,466.0,729.0,410.0,17,031,803701
"Census Tract 8382, Cook County, Illinois",61.0,75.0,157.0,297.0,303.0,17,031,838200
"Census Tract 8383, Cook County, Illinois",106.0,178.0,193.0,475.0,306.0,17,031,838300
"Census Tract 8386, Cook County, Illinois",314.0,248.0,350.0,5.0,5.0,17,031,838600
"Census Tract 8380, Cook County, Illinois",200.0,346.0,488.0,375.0,229.0,17,031,838000
"Census Tract 2307, Cook County, Illinois",1286.0,1330.0,693.0,233.0,122.0,17,031,230700
"Census Tract 2402, Cook County, Illinois",65.0,156.0,101.0,632.0,387.0,17,031,240200
"Census Tract 2414, Cook County, Illinois",244.0,170.0,598.0,2387.0,1155.0,17,031,241400
"Census Tract 2424, Cook County, Illinois",118.0,216.0,247.0,904.0,712.0,17,031,242400
"Census Tract 2425, Cook County, Illinois",297.0,475.0,467.0,983.0,535.0,17,031,242500
"Census Tract 2426, Cook County, Illinois",457.0,603.0,655.0,1631.0,719.0,17,031,242600
"Census Tract 2427, Cook County, Illinois",190.0,188.0,370.0,434.0,128.0,17,031,242700
"Census Tract 2431, Cook County, Illinois",191.0,200.0,247.0,727.0,412.0,17,031,243100
"Census Tract 2433, Cook County, Illinois",183.0,191.0,249.0,759.0,565.0,17,031,243300
"Census Tract 2503, Cook County, Illinois",498.0,1137.0,806.0,362.0,188.0,17,031,250300
"Census Tract 2515, Cook County, Illinois",811.0,1227.0,488.0,142.0,105.0,17,031,251500
"Census Tract 2519, Cook County, Illinois",379.0,967.0,1186.0,143.0,62.0,17,031,251900
"Census Tract 8211.01, Cook County, Illinois",642.0,1245.0,874.0,292.0,88.0,17,031,821101
"Census Tract 8202.02, Cook County, Illinois",463.0,783.0,605.0,279.0,139.0,17,031,820202
"Census Tract 8203, Cook County, Illinois",1109.0,1127.0,669.0,350.0,68.0,17,031,820300
"Census Tract 8211.02, Cook County, Illinois",513.0,1030.0,804.0,515.0,81.0,17,031,821102
"Census Tract 8213, Cook County, Illinois",1205.0,1067.0,1081.0,324.0,55.0,17,031,821300
"Census Tract 2605, Cook County, Illinois",353.0,233.0,318.0,12.0,24.0,17,031,260500
"Census Tract 8051.07, Cook County, Illinois",761.0,1145.0,1186.0,940.0,419.0,17,031,805107
"Census Tract 6903, Cook County, Illinois",238.0,580.0,546.0,73.0,51.0,17,031,690300
"Census Tract 6915, Cook County, Illinois",217.0,413.0,378.0,120.0,40.0,17,031,691500
"Census Tract 7101, Cook County, Illinois",137.0,303.0,304.0,68.0,4.0,17,031,710100
"Census Tract 7201, Cook County, Illinois",69.0,238.0,470.0,732.0,791.0,17,031,720100
"Census Tract 7202, Cook County, Illinois",104.0,513.0,949.0,622.0,721.0,17,031,720200
